date,dcoilwtico
2016-08-22,46.8
2016-08-23,47.54
2016-08-24,46.29
2016-08-25,46.97
2016-08-26,47.64
2016-08-27,47.416666666666664
2016-08-28,47.193333333333335
2016-08-29,46.97
2016-08-30,46.32
2016-08-31,44.68
2016-09-01,43.17
2016-09-02,44.39
2016-09-03,44.505
2016-09-04,44.62
2016-09-05,44.735
2016-09-06,44.85
2016-09-07,45.47
2016-09-08,47.63
2016-09-09,45.88
2016-09-10,46.013333333333335
2016-09-11,46.14666666666667
2016-09-12,46.28
2016-09-13,44.91
2016-09-14,43.62
2016-09-15,43.85
2016-09-16,43.04
2016-09-17,43.14
2016-09-18,43.24
2016-09-19,43.34
2016-09-20,43.85
2016-09-21,45.33
2016-09-22,46.1
2016-09-23,44.36
2016-09-24,44.77333333333333
2016-09-25,45.18666666666667
2016-09-26,45.6
2016-09-27,44.65
2016-09-28,47.07
2016-09-29,47.72
2016-09-30,47.72
2016-10-01,48.08
2016-10-02,48.44
2016-10-03,48.8
2016-10-04,48.67
2016-10-05,49.75
2016-10-06,50.44
2016-10-07,49.76
2016-10-08,49.76
2016-10-09,49.76
2016-10-10,49.76
2016-10-11,50.72
2016-10-12,50.14
2016-10-13,50.47
2016-10-14,50.35
2016-10-15,50.223333333333336
2016-10-16,50.096666666666664
2016-10-17,49.97
2016-10-18,50.3
2016-10-19,51.59
2016-10-20,50.31
2016-10-21,50.61
2016-10-22,50.46666666666667
2016-10-23,50.32333333333333
2016-10-24,50.18
2016-10-25,49.45
2016-10-26,48.75
2016-10-27,49.71
2016-10-28,48.72
2016-10-29,48.089999999999996
2016-10-30,47.46
2016-10-31,46.83
2016-11-01,46.66
2016-11-02,45.32
2016-11-03,44.66
2016-11-04,44.07
2016-11-05,44.34
2016-11-06,44.61
2016-11-07,44.88
2016-11-08,44.96
2016-11-09,45.2
2016-11-10,44.62
2016-11-11,43.39
2016-11-12,43.35666666666667
2016-11-13,43.32333333333333
2016-11-14,43.29
2016-11-15,45.86
2016-11-16,45.56
2016-11-17,45.37
2016-11-18,45.69
2016-11-19,46.28666666666666
2016-11-20,46.88333333333333
2016-11-21,47.48
2016-11-22,48.07
2016-11-23,46.72
2016-11-24,46.72
2016-11-25,46.72
2016-11-26,46.36666666666667
2016-11-27,46.01333333333333
2016-11-28,45.66
2016-11-29,45.29
2016-11-30,49.41
2016-12-01,51.08
2016-12-02,51.7
2016-12-03,51.70666666666667
2016-12-04,51.71333333333333
2016-12-05,51.72
2016-12-06,50.95
2016-12-07,49.85
2016-12-08,50.84
2016-12-09,51.51
2016-12-10,51.92
2016-12-11,52.33
2016-12-12,52.74
2016-12-13,52.99
2016-12-14,51.01
2016-12-15,50.9
2016-12-16,51.93
2016-12-17,51.99666666666667
2016-12-18,52.06333333333333
2016-12-19,52.13
2016-12-20,52.22
2016-12-21,51.44
2016-12-22,51.98
2016-12-23,52.01
2016-12-24,52.2125
2016-12-25,52.415
2016-12-26,52.6175
2016-12-27,52.82
2016-12-28,54.01
2016-12-29,53.8
2016-12-30,53.75
2016-12-31,53.4025
2017-01-01,53.055
2017-01-02,52.7075
2017-01-03,52.36
2017-01-04,53.26
2017-01-05,53.77
2017-01-06,53.98
2017-01-07,53.303333333333335
2017-01-08,52.626666666666665
2017-01-09,51.95
2017-01-10,50.82
2017-01-11,52.19
2017-01-12,53.01
2017-01-13,52.36
2017-01-14,52.3825
2017-01-15,52.405
2017-01-16,52.4275
2017-01-17,52.45
2017-01-18,51.12
2017-01-19,51.39
2017-01-20,52.33
2017-01-21,52.47666666666667
2017-01-22,52.623333333333335
2017-01-23,52.77
2017-01-24,52.38
2017-01-25,52.14
2017-01-26,53.24
2017-01-27,53.18
2017-01-28,52.99666666666667
2017-01-29,52.81333333333333
2017-01-30,52.63
2017-01-31,52.75
2017-02-01,53.9
2017-02-02,53.55
2017-02-03,53.81
2017-02-04,53.54333333333334
2017-02-05,53.276666666666664
2017-02-06,53.01
2017-02-07,52.19
2017-02-08,52.37
2017-02-09,52.99
2017-02-10,53.84
2017-02-11,53.54666666666667
2017-02-12,53.25333333333334
2017-02-13,52.96
2017-02-14,53.21
2017-02-15,53.11
2017-02-16,53.41
2017-02-17,53.41
2017-02-18,53.5625
2017-02-19,53.715
2017-02-20,53.8675
2017-02-21,54.02
2017-02-22,53.61
2017-02-23,54.48
2017-02-24,53.99
2017-02-25,54.00666666666667
2017-02-26,54.02333333333333
2017-02-27,54.04
2017-02-28,54.0
2017-03-01,53.82
2017-03-02,52.63
2017-03-03,53.33
2017-03-04,53.28333333333333
2017-03-05,53.236666666666665
2017-03-06,53.19
2017-03-07,52.68
2017-03-08,49.83
2017-03-09,48.75
2017-03-10,48.05
2017-03-11,48.016666666666666
2017-03-12,47.983333333333334
2017-03-13,47.95
2017-03-14,47.24
2017-03-15,48.34
2017-03-16,48.3
2017-03-17,48.34
2017-03-18,48.156666666666666
2017-03-19,47.973333333333336
2017-03-20,47.79
2017-03-21,47.02
2017-03-22,47.29
2017-03-23,47.0
2017-03-24,47.3
2017-03-25,47.20666666666666
2017-03-26,47.11333333333334
2017-03-27,47.02
2017-03-28,48.36
2017-03-29,49.47
2017-03-30,50.3
2017-03-31,50.54
2017-04-01,50.443333333333335
2017-04-02,50.346666666666664
2017-04-03,50.25
2017-04-04,50.99
2017-04-05,51.14
2017-04-06,51.69
2017-04-07,52.25
2017-04-08,52.52
2017-04-09,52.79
2017-04-10,53.06
2017-04-11,53.38
2017-04-12,53.12
2017-04-13,53.19
2017-04-14,53.0475
2017-04-15,52.904999999999994
2017-04-16,52.762499999999996
2017-04-17,52.62
2017-04-18,52.46
2017-04-19,50.49
2017-04-20,50.26
2017-04-21,49.64
2017-04-22,49.39333333333333
2017-04-23,49.14666666666667
2017-04-24,48.9
2017-04-25,49.22
2017-04-26,49.22
2017-04-27,48.96
2017-04-28,49.31
2017-04-29,49.15
2017-04-30,48.99
2017-05-01,48.83
2017-05-02,47.65
2017-05-03,47.79
2017-05-04,45.55
2017-05-05,46.23
2017-05-06,46.306666666666665
2017-05-07,46.38333333333333
2017-05-08,46.46
2017-05-09,45.84
2017-05-10,47.28
2017-05-11,47.81
2017-05-12,47.83
2017-05-13,48.17333333333333
2017-05-14,48.516666666666666
2017-05-15,48.86
2017-05-16,48.64
2017-05-17,49.04
2017-05-18,49.36
2017-05-19,50.32
2017-05-20,50.483333333333334
2017-05-21,50.64666666666667
2017-05-22,50.81
2017-05-23,51.12
2017-05-24,50.99
2017-05-25,48.57
2017-05-26,49.58
2017-05-27,49.5925
2017-05-28,49.605000000000004
2017-05-29,49.6175
2017-05-30,49.63
2017-05-31,48.29
2017-06-01,48.32
2017-06-02,47.68
2017-06-03,47.586666666666666
2017-06-04,47.49333333333333
2017-06-05,47.4
2017-06-06,48.13
2017-06-07,45.8
2017-06-08,45.68
2017-06-09,45.82
2017-06-10,45.913333333333334
2017-06-11,46.00666666666667
2017-06-12,46.1
2017-06-13,46.41
2017-06-14,44.79
2017-06-15,44.47
2017-06-16,44.73
2017-06-17,44.56666666666666
2017-06-18,44.403333333333336
2017-06-19,44.24
2017-06-20,43.34
2017-06-21,42.48
2017-06-22,42.53
2017-06-23,42.86
2017-06-24,42.986666666666665
2017-06-25,43.11333333333334
2017-06-26,43.24
2017-06-27,44.25
2017-06-28,44.74
2017-06-29,44.88
2017-06-30,46.02
2017-07-01,45.838
2017-07-02,45.656
2017-07-03,45.474000000000004
2017-07-04,45.292
2017-07-05,45.11
2017-07-06,45.52
2017-07-07,44.25
2017-07-08,44.3
2017-07-09,44.35
2017-07-10,44.4
2017-07-11,45.06
2017-07-12,45.48
2017-07-13,46.06
2017-07-14,46.53
2017-07-15,46.36
2017-07-16,46.190000000000005
2017-07-17,46.02
2017-07-18,46.4
2017-07-19,47.1
2017-07-20,46.73
2017-07-21,45.78
2017-07-22,45.92333333333333
2017-07-23,46.06666666666667
2017-07-24,46.21
2017-07-25,47.77
2017-07-26,48.58
2017-07-27,49.05
2017-07-28,49.72
2017-07-29,49.88333333333333
2017-07-30,50.04666666666667
2017-07-31,50.21
2017-08-01,49.19
2017-08-02,49.6
2017-08-03,49.03
2017-08-04,49.57
2017-08-05,49.50333333333333
2017-08-06,49.43666666666667
2017-08-07,49.37
2017-08-08,49.07
2017-08-09,49.59
2017-08-10,48.54
2017-08-11,48.81
2017-08-12,48.403333333333336
2017-08-13,47.99666666666667
2017-08-14,47.59
2017-08-15,47.57
2017-08-16,46.8
2017-08-17,47.07
2017-08-18,48.59
2017-08-19,48.190000000000005
2017-08-20,47.79
2017-08-21,47.39
2017-08-22,47.65
2017-08-23,48.45
2017-08-24,47.24
2017-08-25,47.65
2017-08-26,47.233333333333334
2017-08-27,46.81666666666666
2017-08-28,46.4
2017-08-29,46.46
2017-08-30,45.96
2017-08-31,47.26
